,0__sum_values,0__median,0__mean,0__length,0__standard_deviation,0__variance,0__maximum,0__minimum
0,52.116,3.0085,4.343,12,3.046516316,9.281261667,12.03,1.992
0,119.769,0.5465,0.704523529,170,0.579055877,0.335305708,4.667,0.053
0,120.025,0.5405,0.652309783,184,0.492040004,0.242103366,3.035,0.075
0,119.877,0.5235,0.637643617,188,0.583205199,0.340128304,4.967,0.019
0,120.285,0.539,0.643235294,187,0.560486065,0.314144629,3.716,0.024
0,119.722,0.428,0.546675799,219,0.394572851,0.155687735,2.482,0.011
0,120.132,0.457,0.586009756,205,0.541118498,0.292809229,3.567,0.015
0,119.373,0.455,0.573908654,208,0.45122344,0.203602593,2.809,0.013
0,100.409,0.481,0.608539394,165,0.523521902,0.274075182,3.314,0.026
0,119.468,0.552,0.796453333,150,0.70353109,0.494955994,3.926,0.047
0,119.09,0.552,0.778366013,153,0.657137939,0.431830271,4.999,0.061
0,120.933,0.542,0.770273885,157,0.61214788,0.374725027,3.421,0.015
0,120.421,0.534,0.684210227,176,0.615845101,0.379265189,4.071,0.011
0,119.556,0.536,0.675457627,177,0.626744967,0.392809254,3.819,0.011
0,120.213,0.545,0.770596154,156,0.725020387,0.525654561,4.082,0.027
0,57.328,0.588,0.754315789,76,0.533235388,0.284339979,2.699,0.03
0,119.988,0.545,0.774116129,155,0.700555659,0.490778232,4.897,0.115
0,120.009,0.533,0.670441341,179,0.533616009,0.284746045,4.092,0.023
0,119.104,0.529,0.640344086,186,0.497422593,0.247429236,2.711,0.011
0,120.391,0.472,0.547231818,220,0.425242023,0.180830778,3.546,0.035
0,120.137,0.5655,0.770108974,156,0.665025955,0.44225952,3.893,0.011
0,119.45,0.791,0.948015873,126,0.761936474,0.58054719,4.889,0.088
0,71.995,0.563,0.727222222,99,0.754540164,0.56933086,4.642,0.042
0,119.489,0.542,0.686718391,174,0.691527957,0.478210915,5.523,0.078
0,119.756,0.469,0.676587571,177,0.638209213,0.407310999,4.669,0.06
0,120.684,0.5115,0.663098901,182,0.59924812,0.359098309,4.603,0.016
0,119.979,0.5195,0.66655,180,0.676971297,0.458290136,4.626,0.013
0,119.915,0.521,0.621321244,193,0.47575697,0.226344695,2.387,0.017
0,120.087,0.5165,0.612688776,196,0.518717207,0.269067541,4.144,0.032
0,119.489,0.4795,0.585730392,204,0.498998665,0.248999668,4.324,0.011
0,99.737,0.501,0.600825301,166,0.488777267,0.238903216,3.593,0.019
0,67.685,3.348,3.562368421,19,2.549970097,6.502347496,9.303,0.263
0,112.26,4.008,4.880869565,23,3.008911681,9.053549505,14.024,1.992
0,122.313,4.011,4.530111111,27,2.967856594,8.808172765,14.006,1.961
0,124.325,2.023,4.60462963,27,3.528928157,12.45333394,16.046,1.986
0,114.238,4.0115,4.759916667,24,3.412650618,11.64618424,14.038,1.979
0,118.39,4.014,5.147391304,23,3.538126386,12.51833833,14.034,1.94
0,128.217,5.975,7.542176471,17,6.741110768,45.44257438,25.994,2.004
0,118.297,3.981,4.38137037,27,2.83859389,8.05761527,12.036,1.992
0,60.147,2.0315,3.7591875,16,2.91099118,8.473869652,12.035,1.974
0,119.804,0.193,0.246510288,486,0.141772897,0.020099554,0.96,0.012
0,120.005,0.208,0.314973753,381,0.207297647,0.042972314,1.183,0.011
0,120.108,0.247,0.308760925,389,0.183901454,0.033819745,1.026,0.011
0,120.038,0.199,0.277224018,433,0.160258461,0.025682774,1.003,0.013
0,119.866,0.2015,0.292356098,410,0.212607861,0.045202102,1.723,0.015
0,120.015,0.326,0.328808219,365,0.196111043,0.038459541,1.148,0.017
0,120.108,0.364,0.381295238,315,0.252706553,0.063860602,1.881,0.034
0,119.453,0.1965,0.292776961,408,0.197208414,0.038891159,1.708,0.011
0,104.423,0.1965,0.270525907,386,0.160475332,0.025752332,1.065,0.012
0,118.358,2.011,4.227071429,28,3.322421631,11.03848549,12.033,1.882
0,118.19,2.024,4.075517241,29,2.762299687,7.63029956,10.055,1.975
0,120.329,2.031,4.297464286,28,3.016341723,9.098317392,12.011,1.983
0,122.253,4.0045,4.702038462,26,3.552548246,12.62059904,18.034,1.995
0,114.334,4.014,4.971043478,23,3.375322664,11.39280309,13.964,1.962
0,118.2,4.025,5.372727273,22,3.213755014,10.32822129,13.995,1.978
0,126.298,4.004,5.05192,25,3.317206173,11.00385679,12.059,1.965
0,60.14,5.976,6.682222222,9,5.745515522,33.01094862,22.054,1.998
0,116.105,3.008,5.80525,20,5.479160153,30.02119599,20.026,1.988
0,120.232,4.011,6.0116,20,4.792229777,22.96546624,20.012,1.842
0,122.052,10.038,9.388615385,13,6.43325505,41.38677054,22.003,1.983
0,116.026,4.0385,5.273909091,22,4.258239136,18.13260054,20.057,1.921
0,124.136,5.0065,6.2068,20,4.474172925,20.01822336,18.037,1.987
0,116.096,6.011,7.739733333,15,5.411638279,29.28582886,22.022,1.969
0,124.101,6.005,5.640954545,22,2.935573438,8.617591407,11.999,1.986
0,42.028,5.997,6.004,7,3.016359016,9.098421714,11.98,2.01
0,114.881,0.781,1.104625,104,0.894997563,0.801020638,4.412,0.239
0,124.885,1.021,1.189380952,105,1.056380022,1.11593875,5.929,0.214
0,120.084,0.977,1.132867925,106,0.949009624,0.900619266,4.636,0.207
0,120.118,0.788,1.072482143,112,0.916513775,0.8399975,4.406,0.181
0,118.801,0.763,0.913853846,130,0.862177183,0.743349494,6.121,0.155
0,121.171,0.722,0.91106015,133,0.971657043,0.94411741,6.856,0.074
0,119.28,0.528,0.896842105,133,0.876125432,0.767595772,4.222,0.099
